Experiment,Iteration,Time
19,37,0.324
19,38,0.322
19,39,0.328
19,40,0.323
19,41,0.315
19,42,0.321
19,43,0.33
19,44,0.324
19,45,0.371
19,46,0.395
19,47,0.333
19,48,0.325
19,49,0.353
19,50,0.34
20,1,1.899
20,2,2.083
20,3,1.916
20,4,1.958
20,5,1.917
20,6,2.058
20,7,1.978
20,8,2.036
20,9,2.085
20,10,1.997
20,11,1.93
20,12,1.936
20,13,1.948
20,14,2.049
20,15,1.991
20,16,2.002
20,17,2.114
20,18,2.017
20,19,2.042
20,20,1.97
20,21,1.914
20,22,1.925
20,23,1.854
20,24,1.919
20,25,1.974
20,26,1.926
20,27,1.966
20,28,1.95
20,29,2.022
20,30,1.918
20,31,1.949
20,32,1.927
20,33,1.997
20,34,1.916
20,35,1.941
20,36,1.917
20,37,1.974
20,38,1.922
20,39,1.961
20,40,1.896
20,41,1.95
20,42,1.989
20,43,2.005
20,44,1.965
20,45,1.934
20,46,1.973
20,47,1.871
20,48,1.904
20,49,1.985
20,50,2.082
21,1,0.431
21,2,0.457
21,3,0.443
21,4,0.45
21,5,0.429
21,6,0.44
21,7,0.447
21,8,0.451
21,9,0.414
21,10,0.396
21,11,0.393
21,12,0.399
21,13,0.405
21,14,0.442
21,15,0.416
21,16,0.493
21,17,0.465
21,18,0.434
21,19,0.458
21,20,0.434
21,21,0.442
21,22,0.45
21,23,0.432
21,24,0.458
21,25,0.442
21,26,0.443
21,27,0.434
21,28,0.421
21,29,0.432
21,30,0.403
21,31,0.437
21,32,0.437
21,33,0.434
21,34,0.419
21,35,0.409
21,36,0.418
21,37,0.429
21,38,0.43
21,39,0.462
21,40,0.434
21,41,0.432
21,42,0.446
21,43,0.413
21,44,0.438
21,45,0.448
21,46,0.418
21,47,0.445
21,48,0.445
21,49,0.439
21,50,0.451
22,1,2.004
22,2,2.078
22,3,2.009
22,4,1.909
22,5,1.876
22,6,1.946
22,7,1.829
22,8,1.732
22,9,1.693
22,10,1.737
22,11,1.764
22,12,1.805
22,13,1.836
22,14,1.76
22,15,1.806
22,16,1.792
22,17,1.822
22,18,1.863
22,19,1.92
22,20,1.918
22,21,1.954
22,22,1.957
22,23,2.051
22,24,1.952
22,25,2.088
22,26,1.89
22,27,2.013
22,28,2.045
22,29,2.066
22,30,2.098
22,31,2.125
22,32,2.106
22,33,2.237
22,34,2.093
22,35,2.122
22,36,2.188
22,37,2.128
22,38,1.982
22,39,2.021
22,40,2.053
22,41,2.115
22,42,2.165
22,43,2.14
22,44,2.106
22,45,2.122
22,46,2.036
22,47,2.037
22,48,2.059
22,49,1.952
22,50,1.933
23,1,9.588
23,2,9.717
23,3,9.456
23,4,9.111
23,5,9.661
23,6,9.419
23,7,9.419
23,8,8.902
23,9,10.235
23,10,10.161
23,11,10.635
23,12,10.207
23,13,10.811
23,14,10.456
23,15,10.159
23,16,9.219
23,17,9.884
23,18,10.287
23,19,10.627
23,20,10.549
23,21,10.934
23,22,10.002
23,23,10.532
23,24,10.866
23,25,11.056
23,26,9.92
23,27,10.196
23,28,10.135
23,29,10.508
23,30,9.834
23,31,10.09
23,32,10.088
23,33,10.212
23,34,11.411
23,35,10.708
23,36,9.071
23,37,10.35
23,38,9.993
23,39,8.571
23,40,8.42
23,41,8.995
23,42,8.21
23,43,8.635
23,44,8.341
23,45,8.548
23,46,8.936
23,47,8.775
23,48,8.95
23,49,9.555
23,50,9.327
