Experiment,Iteration,Time
13,19,0.08
13,20,0.083
13,21,0.082
13,22,0.081
13,23,0.079
13,24,0.079
13,25,0.077
13,26,0.088
13,27,0.078
13,28,0.081
13,29,0.084
13,30,0.08
13,31,0.08
13,32,0.083
13,33,0.082
13,34,0.08
13,35,0.077
13,36,0.086
13,37,0.081
13,38,0.08
13,39,0.078
13,40,0.083
13,41,0.078
13,42,0.081
13,43,0.078
13,44,0.082
13,45,0.084
13,46,0.087
13,47,0.08
13,48,0.079
13,49,0.082
13,50,0.085
14,1,0.122
14,2,0.125
14,3,0.116
14,4,0.119
14,5,0.11
14,6,0.111
14,7,0.109
14,8,0.114
14,9,0.116
14,10,0.106
14,11,0.112
14,12,0.107
14,13,0.105
14,14,0.105
14,15,0.107
14,16,0.105
14,17,0.111
14,18,0.109
14,19,0.11
14,20,0.106
14,21,0.112
14,22,0.112
14,23,0.109
14,24,0.115
14,25,0.108
14,26,0.105
14,27,0.108
14,28,0.116
14,29,0.107
14,30,0.105
14,31,0.107
14,32,0.107
14,33,0.107
14,34,0.11
14,35,0.106
14,36,0.11
14,37,0.103
14,38,0.11
14,39,0.116
14,40,0.115
14,41,0.116
14,42,0.112
14,43,0.109
14,44,0.11
14,45,0.11
14,46,0.115
14,47,0.109
14,48,0.112
14,49,0.116
14,50,0.111
15,1,0.08
15,2,0.079
15,3,0.083
15,4,0.083
15,5,0.081
15,6,0.077
15,7,0.08
15,8,0.083
15,9,0.081
15,10,0.081
15,11,0.078
15,12,0.08
15,13,0.076
15,14,0.078
15,15,0.082
15,16,0.079
15,17,0.082
15,18,0.08
15,19,0.076
15,20,0.078
15,21,0.075
15,22,0.076
15,23,0.077
15,24,0.081
15,25,0.078
15,26,0.081
15,27,0.084
15,28,0.081
15,29,0.081
15,30,0.082
15,31,0.08
15,32,0.082
15,33,0.084
15,34,0.084
15,35,0.081
15,36,0.081
15,37,0.079
15,38,0.077
15,39,0.081
15,40,0.083
15,41,0.079
15,42,0.08
15,43,0.078
15,44,0.08
15,45,0.08
15,46,0.078
15,47,0.079
15,48,0.084
15,49,0.083
15,50,0.08
16,1,0.107
16,2,0.111
16,3,0.112
16,4,0.11
16,5,0.108
16,6,0.112
16,7,0.102
16,8,0.107
16,9,0.104
16,10,0.103
16,11,0.108
16,12,0.105
16,13,0.103
16,14,0.107
16,15,0.105
16,16,0.104
16,17,0.108
16,18,0.106
16,19,0.104
16,20,0.108
16,21,0.11
16,22,0.104
16,23,0.106
16,24,0.105
16,25,0.102
16,26,0.107
16,27,0.107
16,28,0.106
16,29,0.104
16,30,0.107
16,31,0.105
16,32,0.104
16,33,0.103
16,34,0.105
16,35,0.103
16,36,0.108
16,37,0.102
16,38,0.108
16,39,0.103
16,40,0.103
16,41,0.105
16,42,0.104
16,43,0.107
16,44,0.104
16,45,0.109
16,46,0.107
16,47,0.112
16,48,0.104
16,49,0.105
16,50,0.11
17,1,0.237
17,2,0.242
17,3,0.237
17,4,0.236
17,5,0.233
17,6,0.235
17,7,0.235
17,8,0.24
17,9,0.237
17,10,0.236
17,11,0.237
17,12,0.23
17,13,0.248
17,14,0.23
17,15,0.228
17,16,0.241
17,17,0.242
17,18,0.237
17,19,0.237
17,20,0.249
17,21,0.242
17,22,0.24
17,23,0.242
17,24,0.258
17,25,0.25
17,26,0.248
17,27,0.254
17,28,0.251
17,29,0.251
17,30,0.241
17,31,0.245
17,32,0.245
17,33,0.236
17,34,0.25
17,35,0.265
17,36,0.233
17,37,0.234
17,38,0.249
17,39,0.242
17,40,0.238
17,41,0.252
17,42,0.237
17,43,0.25
17,44,0.262
17,45,0.249
17,46,0.241
17,47,0.241
17,48,0.247
17,49,0.232
17,50,0.236
18,1,0.109
18,2,0.114
18,3,0.115
18,4,0.116
18,5,0.108
18,6,0.111
18,7,0.113
18,8,0.108
18,9,0.11
18,10,0.11
18,11,0.112
18,12,0.112
18,13,0.117
18,14,0.112
18,15,0.108
18,16,0.109
18,17,0.109
18,18,0.113
18,19,0.112
18,20,0.106
18,21,0.11
18,22,0.113
18,23,0.109
18,24,0.109
18,25,0.121
18,26,0.108
18,27,0.112
18,28,0.11
18,29,0.114
18,30,0.112
18,31,0.113
18,32,0.116
18,33,0.11
18,34,0.115
18,35,0.109
18,36,0.11
18,37,0.109
18,38,0.113
18,39,0.112
18,40,0.11
18,41,0.11
18,42,0.107
18,43,0.107
18,44,0.108
18,45,0.11
18,46,0.106
18,47,0.109
18,48,0.106
18,49,0.106
18,50,0.109
19,1,0.233
19,2,0.233
19,3,0.235
19,4,0.24
19,5,0.232
19,6,0.232
19,7,0.237
19,8,0.25
19,9,0.234
19,10,0.236
19,11,0.225
19,12,0.242
19,13,0.241
19,14,0.235
19,15,0.225
19,16,0.234
19,17,0.231
19,18,0.232
19,19,0.23
19,20,0.229
19,21,0.235
19,22,0.228
19,23,0.234
19,24,0.243
19,25,0.231
19,26,0.241
19,27,0.232
19,28,0.234
19,29,0.234
19,30,0.242
19,31,0.229
19,32,0.248
19,33,0.233
19,34,0.237
19,35,0.247
19,36,0.243
19,37,0.235
19,38,0.244
19,39,0.233
19,40,0.231
19,41,0.245
19,42,0.233
19,43,0.236
19,44,0.246
19,45,0.238
19,46,0.236
19,47,0.238
19,48,0.237
19,49,0.232
19,50,0.252
20,1,1.336
20,2,1.41
20,3,1.311
20,4,1.324
20,5,1.303
20,6,1.305
20,7,1.318
20,8,1.304
20,9,1.323
20,10,1.307
20,11,1.309
